time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004429,-0.7928,-0.8073,-1.3015,1.725
0.014397,-0.9644,-0.6111,-0.6691,1.323
0.025122,-0.7510,-0.3212,-0.2464,0.853
0.034450,-0.0379,-0.0561,-0.0205,0.071
0.044404,0.8176,0.1766,0.1966,0.859
0.054361,1.4256,0.4834,0.3768,1.552
0.064820,1.7644,0.8390,0.3340,1.982
0.074295,1.5466,0.8483,-0.0207,1.764
0.084352,0.7622,-0.6442,-1.0507,1.449
0.094375,0.5072,-0.9371,-2.1693,2.417
0.105130,-0.3767,-0.5869,-1.4636,1.621
0.114397,-0.9294,-0.2146,-0.2539,0.987
0.124360,-0.5465,-0.0862,0.6825,0.879
0.136263,-0.2444,0.0871,1.4287,1.452
0.144883,0.4861,0.3523,1.2637,1.399
0.154791,0.9229,0.5827,1.1147,1.560
0.164608,1.2399,0.7610,1.3937,2.015
0.174659,1.5025,0.6648,1.1709,2.018
0.185246,1.5741,0.1013,0.2892,1.604
0.194378,0.2932,-0.3260,0.4892,0.657
0.204351,-0.7209,-0.5460,0.5062,1.036
0.214365,-1.0407,-0.5040,0.1572,1.167
0.224815,-0.8699,-0.3814,-0.2161,0.974
0.234326,-0.2962,-0.1907,-0.5676,0.668
0.244379,0.2756,0.0293,-0.7906,0.838
0.254330,0.6437,0.2013,-0.8090,1.053
0.265126,0.8089,0.4331,-0.6660,1.134
0.274371,0.5881,0.5384,-0.6354,1.020
0.284341,0.1020,0.4873,-0.6572,0.824
0.294368,-0.0549,0.3370,-0.7921,0.863
0.304806,0.0447,-0.0489,-1.2674,1.269
0.314388,0.1499,-0.0426,-1.1938,1.204
0.324514,0.2042,-0.1915,-0.9525,0.993
0.334414,0.2263,-0.7776,-0.8534,1.177
0.345261,0.1292,-1.0930,-0.6757,1.291
0.354699,-0.2366,-1.1652,-0.2157,1.208
0.364556,-0.3829,-0.9268,-0.1566,1.015
0.374524,-0.5118,-0.6657,-0.3635,0.915
0.384910,-0.2493,-0.4931,-0.5400,0.773
0.394497,0.1073,-0.2829,-0.3683,0.477
0.404494,0.2656,-0.0831,-0.3183,0.423
0.414578,0.3608,-0.0695,-0.2396,0.439
0.425409,0.4034,-0.0364,0.2800,0.492
0.434502,0.1086,-0.2554,0.5290,0.597
0.444534,-0.3278,-0.5257,0.1883,0.648
0.454577,-0.4013,-0.7172,-0.2632,0.863
0.465178,-0.4428,-0.6441,-0.1070,0.789
0.474697,-0.3386,-0.5235,-0.0113,0.624
0.485706,-0.1739,-0.3854,-0.0039,0.423
0.494864,-0.2537,-0.3986,0.1837,0.507
0.505895,-0.3965,-0.3605,0.1711,0.563
0.514888,-0.7045,-0.3323,-0.0201,0.779
0.524768,-0.7594,-0.2920,-0.0639,0.816
0.534569,-0.2276,0.0863,-0.1573,0.290
0.545012,0.5843,0.5933,-0.2189,0.861
0.554564,1.2645,1.1212,-0.0920,1.692
0.564594,1.7950,1.7160,0.0666,2.484
0.574572,1.9626,2.0807,0.5563,2.914
0.585477,1.6683,1.9492,1.1782,2.823
0.595002,1.1796,1.5454,1.6944,2.579
0.605026,0.7430,1.1699,1.1167,1.780
0.616124,0.4955,0.7798,-0.3377,0.984
0.625085,0.4180,0.6336,-0.8594,1.147
0.637173,-0.1060,-0.4470,5.4085,5.428
0.644422,0.0415,-0.9012,1.5881,1.826
0.654545,-0.0742,-0.7139,-0.5902,0.929
0.665319,0.0874,-0.8419,-0.5701,1.021
0.674473,0.4979,-0.6565,-2.3767,2.515
0.684541,0.9534,-0.3728,-2.3657,2.578
0.694565,0.9319,0.2108,-1.9891,2.207
0.705102,1.6589,0.8356,-2.5567,3.160
0.714694,2.3327,1.0504,-1.8207,3.140
0.724554,1.7477,0.8814,-1.3199,2.361
0.734819,0.7879,1.1455,-1.5438,2.078
0.750655,0.3984,1.4779,-2.1529,2.642
0.754832,1.6445,1.4982,-3.9171,4.505
0.764773,2.2689,1.3451,-5.1688,5.803
0.774897,2.5368,1.3142,-5.3762,6.088
0.785359,2.0283,0.5934,-5.1600,5.576
0.803348,1.3507,-0.4142,-4.8470,5.049
0.805069,1.4729,-0.7916,-4.3623,4.672
0.816841,1.2975,-1.2031,-3.7983,4.190
0.858372,1.8026,-1.4642,-3.3553,4.081
0.859621,1.9313,-1.6705,-3.1758,4.075
0.860264,1.7820,-1.9959,-3.8967,4.727
0.860748,1.9059,-1.7131,-4.7751,5.419
0.865318,1.0046,-1.8644,-6.0384,6.399
0.874653,0.6321,-2.3909,-7.5891,7.982
0.884752,0.4551,-2.9691,-8.4147,8.935
0.895748,0.0371,-3.5995,-8.3172,9.063
0.905908,-0.0913,-4.2908,-7.5099,8.650
0.914978,-0.1798,-5.1389,-5.7071,7.682
0.925514,0.2448,-5.5720,-3.8295,6.766
0.934969,0.6332,-5.5507,-2.7650,6.233
0.945470,0.7729,-5.3822,-2.7202,6.080
0.955204,0.8389,-5.6861,-3.1765,6.567
0.965080,0.7435,-6.4410,-3.5697,7.401
0.976128,0.9683,-6.9420,-3.5850,7.873
0.985602,1.5160,-7.2348,-3.4535,8.159
0.995202,1.9847,-7.5434,-3.3895,8.505
1.005083,2.8063,-8.0636,-2.9886,9.046
1.015985,3.4745,-8.0552,-2.5507,9.136
1.025539,4.3413,-7.7907,-2.0969,9.162
1.035146,4.9464,-7.9551,-1.6807,9.517
1.045008,5.3397,-7.9756,-1.0804,9.659
1.055303,5.8951,-8.0111,-0.2825,9.950
1.065579,6.7911,-7.9947,0.2838,10.494
1.075984,7.6952,-7.9903,0.6448,11.112
1.085064,8.1549,-7.7592,0.8983,11.292
1.095090,8.6682,-7.4441,1.0988,11.479
1.105572,8.7623,-7.0501,1.5446,11.352
1.115173,8.8375,-6.5702,1.7779,11.155
1.125012,8.8735,-6.0069,1.9119,10.885
1.137260,8.6218,-5.3550,2.0450,10.353
1.146001,8.6887,-4.8096,2.3288,10.200
1.156188,8.7215,-4.5151,2.7005,10.185
1.165599,9.2201,-4.0036,3.0694,10.510
1.175183,9.9559,-2.9837,3.4842,10.962
1.186272,11.2252,-1.1580,3.9315,11.950
1.195899,11.4921,0.4997,4.1821,12.240
1.205659,10.7971,1.3034,3.8978,11.553
1.215617,9.5474,1.5898,3.5862,10.322
1.226019,8.3784,1.7934,3.1861,9.141
1.236353,7.6107,1.6983,2.5144,8.193
1.245076,6.6786,1.4947,2.2528,7.205
1.255142,5.9896,1.5210,2.3093,6.597
1.265293,5.8622,1.7225,2.4483,6.582
1.274864,6.2772,1.9430,2.5910,7.063
1.286222,7.0434,2.3080,2.6284,7.864
1.295255,7.8001,3.0791,2.9334,8.884
1.306081,7.5281,3.7341,3.0433,8.937
1.315941,7.5673,3.9214,3.0016,9.036
