time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001601,-0.9278,0.0161,0.8110,1.232
0.011382,-0.4658,0.1225,-1.2924,1.379
0.021281,0.0249,0.1682,-3.0940,3.099
0.030672,0.6244,0.7077,-2.8610,3.013
0.042376,1.1716,1.2995,-0.9157,1.975
0.050976,0.9155,0.1129,-2.0906,2.285
0.060999,0.9022,-0.0150,-1.4250,1.687
0.070426,0.2863,-1.4726,-3.6571,3.953
0.080454,0.3362,-1.3440,-5.1942,5.376
0.090931,0.6824,-0.4885,-4.7691,4.842
0.101205,1.6430,0.7702,-2.9175,3.436
0.110366,2.4133,1.3107,-1.0318,2.934
0.120417,2.5809,0.6294,-0.7638,2.764
0.130471,2.3430,-0.3443,-1.8121,2.982
0.140929,1.6700,-0.8028,-1.9594,2.697
0.150685,1.4549,-1.1252,-3.4288,3.891
0.160636,1.2275,-1.1915,-4.2122,4.546
0.170981,0.9143,-1.0558,-3.7737,4.024
0.181127,1.8885,-0.2009,-2.6889,3.292
0.190351,1.1985,-1.4270,-1.5325,2.413
0.200357,0.3808,-2.0931,-3.1899,3.834
0.211107,0.1524,-1.7848,-3.8186,4.218
0.230742,0.9115,-1.3684,-3.6905,4.040
0.231564,1.7347,-1.0340,-3.4548,4.002
0.240742,1.3981,-1.3237,-3.6576,4.133
0.250568,0.7274,-1.6206,-3.8165,4.210
0.261359,0.4377,-1.8329,-3.5772,4.043
0.271217,0.3424,-1.9643,-3.9402,4.416
0.280470,0.5206,-1.9708,-4.7419,5.161
0.290508,0.6539,-1.9222,-4.5662,4.997
0.300957,0.4276,-2.0730,-4.4929,4.967
0.310512,0.0732,-2.3333,-4.5212,5.088
0.320586,-0.0861,-2.5142,-4.3856,5.056
0.330569,-0.2101,-2.5870,-3.9966,4.765
0.341246,-0.3495,-2.6614,-3.4794,4.394
0.350693,-0.3379,-2.4883,-3.3408,4.179
0.360529,-0.1711,-2.3375,-3.8043,4.468
0.370569,0.1578,-2.2972,-4.5366,5.088
0.381009,0.2054,-2.3309,-5.3140,5.806
0.390428,0.1046,-2.5552,-5.8545,6.389
0.400476,-0.0516,-2.8723,-5.8262,6.496
0.410507,-0.3155,-3.3859,-5.0916,6.123
0.421247,-0.7009,-4.0080,-3.6102,5.440
0.430432,-0.9019,-4.2962,-2.2021,4.911
0.440960,-0.9968,-4.4127,-1.3942,4.734
0.450420,-1.2253,-4.4078,-1.1180,4.710
0.460920,-1.6379,-4.2946,-1.2468,4.762
0.470828,-2.0077,-4.1599,-1.6734,4.913
0.484303,-2.1763,-4.1554,-1.9959,5.098
0.490571,-2.0617,-4.2063,-1.8603,5.040
0.501491,-1.5982,-4.3084,-1.3427,4.787
0.511047,-1.2215,-4.2178,-0.8232,4.468
0.520692,-1.2069,-4.2033,-0.5368,4.406
0.530593,-1.5586,-4.1026,-0.6321,4.434
0.541061,-1.9391,-3.9863,-1.0324,4.552
0.550546,-2.1880,-3.7956,-1.6810,4.693
0.560502,-2.3718,-3.6648,-2.0702,4.831
0.570504,-2.3858,-3.6582,-2.2000,4.890
0.581220,-1.9163,-3.4889,-1.8244,4.379
0.590449,-1.4586,-3.3423,-1.2155,3.844
0.600544,-1.2297,-3.3561,-0.5362,3.614
0.612717,-0.9687,-3.2874,0.2257,3.435
0.621241,-0.7136,-3.1319,1.0397,3.376
0.632336,-0.4564,-2.9547,1.5396,3.363
0.640506,-0.2808,-2.7801,1.7987,3.323
0.650508,-0.1226,-2.6684,1.8326,3.239
0.661272,-0.0527,-2.4911,1.7868,3.066
0.670446,-0.0514,-2.3838,1.7199,2.940
0.680383,-0.2448,-2.4222,1.8101,3.034
0.690322,-0.5041,-2.5061,1.9509,3.216
0.700898,-0.8196,-2.6245,2.5156,3.727
0.712452,-1.2255,-2.6426,3.0147,4.192
0.720445,-1.4150,-2.7341,3.4687,4.638
0.730719,-1.3434,-2.7026,3.8192,4.868
0.747094,-1.0644,-2.4878,4.1708,4.972
0.750627,-0.7722,-2.1982,4.3849,4.965
0.770020,-0.5511,-1.9520,4.3441,4.794
0.770648,-0.4552,-1.7773,4.1193,4.509
0.781150,-0.6967,-1.6805,3.9015,4.305
0.791062,-1.2156,-1.6879,3.8513,4.377
0.800506,-1.5814,-1.6813,3.9294,4.557
0.810760,-1.5790,-1.5238,4.0363,4.594
0.821277,-1.3803,-1.3638,4.1570,4.588
0.830530,-1.2664,-1.2808,4.2074,4.577
0.840546,-1.2093,-1.1867,4.1756,4.506
0.850602,-1.1484,-1.0329,3.9633,4.254
0.860995,-1.2971,-0.9261,3.6705,4.002
0.870947,-1.6419,-0.8937,3.3609,3.846
0.880726,-1.8655,-0.8655,3.1460,3.759
0.892096,-1.8388,-0.7631,3.0267,3.623
0.901567,-1.6707,-0.6251,3.1007,3.577
0.923192,-1.5195,-0.5987,3.1810,3.576
0.923934,-1.2882,-0.5175,3.2956,3.576
0.931209,-1.1053,-0.4214,3.4814,3.677
0.941417,-1.2319,-0.4860,3.3694,3.620
0.950960,-1.5063,-0.5914,3.2207,3.604
0.960774,-1.8118,-0.7463,3.2817,3.822
0.970644,-2.1798,-1.0190,3.4635,4.217
0.981230,-2.3067,-1.1952,3.7736,4.581
0.990662,-2.2632,-1.3071,4.1273,4.885
1.000517,-2.1306,-1.2399,4.3214,4.975
1.010599,-2.0173,-1.0844,4.0080,4.616
1.021208,-1.9126,-0.9683,3.3340,3.964
1.030932,-1.7562,-0.8013,2.6280,3.261
1.046167,-1.4975,-0.5703,2.0241,2.582
1.052086,-1.2821,-0.3316,1.5183,2.015
1.061238,-1.1292,-0.1511,1.1152,1.594
1.070918,-1.0293,-0.0272,0.9058,1.371
1.080877,-1.0329,-0.0569,0.7932,1.304
1.091109,-0.9547,-0.0437,0.7185,1.196
1.101296,-0.8476,0.0214,0.7959,1.163
1.110642,-0.8625,0.0200,0.7862,1.167
1.120770,-0.8329,0.0094,0.7264,1.105
1.130991,-0.7079,0.0380,0.6162,0.939
1.143972,-0.5756,-0.0215,0.5048,0.766
1.152104,-0.3966,-0.0808,0.5495,0.682
1.160759,-0.1900,-0.1106,0.6325,0.670
1.171210,-0.0627,-0.1710,0.6644,0.689
1.184922,-0.1211,-0.2238,0.5263,0.585
1.190998,-0.1971,-0.3182,0.2483,0.449
1.200797,-0.1722,-0.3065,-0.0502,0.355
1.211059,-0.1178,-0.1875,-0.3298,0.397
1.221350,-0.2517,-0.1170,-0.6488,0.706
1.230755,-0.4180,-0.0939,-0.9961,1.084
1.240754,-0.4880,0.0006,-1.2516,1.343
1.250921,-0.4911,0.0304,-1.4135,1.497
1.261112,-0.4573,-0.0331,-1.3339,1.410
1.270681,-0.2882,-0.1116,-1.0422,1.087
1.280762,-0.1508,-0.1672,-0.6188,0.658
1.290795,-0.0343,-0.2704,-0.2627,0.379
1.301439,0.0149,-0.3546,-0.0536,0.359
1.317738,0.1261,-0.3719,-0.0513,0.396
1.325403,0.1723,-0.3517,-0.1770,0.430
1.351907,0.2411,-0.3127,-0.3706,0.542
1.352476,0.3012,-0.2437,-0.5134,0.643
1.352652,0.2911,-0.2024,-0.5463,0.651
1.361108,0.1992,-0.1975,-0.4689,0.546
1.370711,0.1521,-0.1901,-0.2625,0.358
1.381327,0.0517,-0.1418,0.0224,0.153
1.390595,-0.0806,-0.1713,0.2184,0.289
1.400660,-0.2229,-0.1525,0.3349,0.430
1.411055,-0.2453,-0.0959,0.3917,0.472
1.421068,-0.2157,-0.0508,0.3497,0.414
1.430745,-0.1154,-0.0171,0.3163,0.337
1.440706,-0.0728,-0.0237,0.2328,0.245
1.450733,-0.0894,-0.0603,0.2267,0.251
1.474096,-0.1757,-0.1855,0.3176,0.408
1.475209,-0.3306,-0.3607,0.5930,0.769
1.480729,-0.3829,-0.4013,0.5042,0.750
1.491533,-0.4186,-0.3976,0.1376,0.594
1.501102,-0.5680,-0.4268,-0.2710,0.760
1.510812,-0.5001,-0.3601,-0.5448,0.823
1.520615,-0.3232,-0.2155,-0.7893,0.880
1.530654,-0.1374,-0.1480,-0.9140,0.936
1.541431,0.0257,-0.0675,-0.8392,0.842
1.550899,0.1355,0.0167,-0.6435,0.658
1.560974,0.1811,0.0654,-0.4552,0.494
1.570616,0.0739,0.0383,-0.3057,0.317
1.581176,-0.0870,-0.0065,-0.1275,0.154
1.594546,-0.2307,-0.0610,0.0494,0.244
1.600901,-0.2170,-0.0970,0.1954,0.308
1.621452,-0.1133,-0.1058,0.3290,0.364
1.622014,-0.0376,-0.1367,0.3221,0.352
1.630718,0.0190,-0.1402,0.2339,0.273
1.640563,0.1243,-0.1547,0.1234,0.234
1.650785,0.2083,-0.1990,0.0503,0.292
1.661153,0.3090,-0.2037,0.0343,0.372
1.670977,0.3180,-0.2471,0.1048,0.416
