time,ax,ay,az,atotal
0.0013899803161621094,0.29,-0.28,-0.37,0.54
0.011263132095336914,0.17,-0.5,-0.18,0.55
0.020606040954589844,-0.81,-0.18,-0.08,0.83
0.03053903579711914,-0.19,0.11,-0.07,0.23
0.04123806953430176,0.03,-0.03,0.19,0.19
0.08153605461120605,-0.01,-0.07,0.23,0.24
0.08179783821105957,0.01,-0.11,0.18,0.21
0.08204007148742676,0.05,-0.11,0.09,0.15
0.08227896690368652,0.05,-0.1,-0.04,0.11
0.09039306640625,0.03,0.01,-0.13,0.13
0.10069108009338379,-0.03,0.02,-0.09,0.09
0.11089491844177246,-0.11,0.01,-0.06,0.12
0.12037801742553711,-0.11,-0.05,-0.03,0.12
0.13030791282653809,-0.07,-0.04,0.07,0.1
0.1410820484161377,-0.04,0.04,0.02,0.06
0.18257403373718262,0.0,0.03,-0.06,0.06
0.18283915519714355,-0.14,0.05,-0.04,0.15
0.18309998512268066,-0.1,0.04,-0.1,0.14
0.18334698677062988,-0.04,0.01,-0.1,0.1
0.19024896621704102,0.12,-0.09,0.06,0.16
0.20043301582336426,0.29,-0.1,0.07,0.31
0.21088099479675293,0.16,0.02,0.02,0.16
0.22016000747680664,-0.03,-0.01,0.04,0.05
0.23021292686462402,-0.08,-0.02,-0.05,0.09
0.24098706245422363,-0.03,-0.01,-0.11,0.11
0.2813570499420166,0.0,0.02,-0.15,0.15
0.28199100494384766,-0.05,0.04,-0.15,0.16
0.28225207328796387,-0.07,0.0,-0.1,0.12
0.28249406814575195,0.02,0.0,-0.04,0.04
0.29023098945617676,0.05,-0.02,0.01,0.05
0.3005411624908447,0.05,0.02,0.02,0.05
0.31073498725891113,0.02,0.01,0.02,0.03
0.32015299797058105,-0.04,0.0,0.03,0.05
0.3301551342010498,-0.09,0.04,0.01,0.09
0.3409709930419922,-0.02,-0.01,-0.02,0.03
0.3501889705657959,0.1,-0.01,-0.05,0.11
0.3818638324737549,0.16,0.0,-0.07,0.17
0.38213300704956055,0.17,0.01,-0.01,0.17
0.3824160099029541,0.09,-0.02,0.05,0.1
0.3900480270385742,-0.07,0.0,0.03,0.07
0.40003204345703125,-0.21,0.05,-0.06,0.22
0.41075706481933594,-0.13,0.03,-0.1,0.16
0.42003297805786133,0.01,-0.03,-0.07,0.07
0.43003201484680176,0.08,0.0,-0.04,0.08
0.4408400058746338,0.08,0.02,0.01,0.08
0.4500429630279541,0.06,0.02,0.05,0.08
0.4819910526275635,0.14,0.01,0.11,0.17
0.4822409152984619,0.19,-0.01,0.11,0.21
0.4824988842010498,0.12,-0.02,0.08,0.14
0.4899170398712158,0.07,-0.01,0.09,0.11
0.49997806549072266,0.06,0.01,0.06,0.08
0.5105559825897217,0.03,-0.03,0.07,0.08
0.5199148654937744,-0.04,-0.01,0.02,0.04
0.52988600730896,-0.04,0.02,0.01,0.04
0.540755033493042,-0.05,0.01,0.06,0.07
