time,ax,ay,az,atotal
0.0027599334716796875,-0.67,-0.71,0.18,0.99
0.004372119903564453,0.17,0.41,-0.79,0.9
0.020083904266357422,0.65,-0.14,-0.35,0.75
0.023045063018798828,-0.38,0.11,0.45,0.59
0.03302192687988281,-0.23,0.1,-0.02,0.25
0.0670170783996582,0.0,0.09,-0.4,0.41
0.06908988952636719,-0.03,0.25,-0.36,0.43
0.0705881118774414,-0.06,0.18,-0.15,0.24
0.08308792114257812,-0.17,0.07,-0.12,0.21
0.08452892303466797,-0.04,-0.03,-0.12,0.13
0.10063600540161133,0.14,0.04,-0.13,0.19
0.1023709774017334,0.08,0.01,0.01,0.08
0.11716413497924805,0.07,0.0,0.21,0.22
0.12288713455200195,0.06,-0.1,0.29,0.31
0.13551902770996094,0.0,-0.1,0.24,0.26
0.16512393951416016,0.04,-0.1,0.11,0.15
0.16687297821044922,0.06,-0.01,0.04,0.07
0.16832995414733887,0.02,-0.02,-0.04,0.04
0.18389296531677246,-0.05,0.03,-0.01,0.05
0.18536615371704102,-0.01,0.05,-0.04,0.06
0.2007899284362793,0.04,-0.01,-0.12,0.12
0.20232295989990234,0.01,0.01,-0.11,0.11
0.21727800369262695,0.04,0.03,0.01,0.05
0.22183513641357422,0.07,0.02,0.08,0.1
0.23827505111694336,0.07,0.07,0.03,0.1
0.2445530891418457,0.04,0.01,-0.01,0.04
0.26597094535827637,-0.03,-0.03,-0.04,0.05
0.26759910583496094,-0.08,0.0,0.08,0.11
0.27104806900024414,-0.09,0.02,0.21,0.22
0.2845730781555176,0.04,-0.01,0.13,0.13
0.29132699966430664,0.03,-0.04,0.0,0.05
0.30092811584472656,-0.04,0.02,0.0,0.04
0.31085681915283203,0.13,-0.03,-0.04,0.13
0.3210909366607666,0.23,0.03,-0.02,0.23
0.3310360908508301,0.21,0.05,0.06,0.22
0.3438410758972168,0.13,0.0,0.07,0.14
0.3648369312286377,0.0,-0.02,0.0,0.02
0.3664419651031494,-0.11,-0.08,-0.06,0.14
0.37073802947998047,-0.03,-0.17,0.19,0.25
0.3854939937591553,0.46,-0.27,0.29,0.6
0.39041709899902344,0.49,-0.23,0.15,0.56
0.40037012100219727,0.28,-0.15,0.09,0.33
0.4101839065551758,0.19,-0.11,0.27,0.34
0.42000389099121094,0.24,-0.1,0.28,0.38
0.4333019256591797,0.11,-0.06,0.27,0.29
0.4430830478668213,0.0,-0.07,0.24,0.25
0.4641859531402588,0.05,-0.03,0.19,0.19
0.46574997901916504,0.05,0.01,0.12,0.13
0.46965885162353516,0.09,0.03,0.04,0.1
0.4851808547973633,0.01,-0.06,-0.01,0.06
0.4896368980407715,-0.18,-0.08,0.04,0.2
0.5005090236663818,0.05,-0.1,-0.2,0.22
0.5096709728240967,0.26,-0.16,0.04,0.3
0.5196738243103027,0.45,-0.18,0.61,0.77
0.5300588607788086,0.65,-0.37,1.08,1.31
0.5423099994659424,0.68,-0.42,0.95,1.24
0.5640969276428223,0.54,-0.23,0.57,0.81
0.5656540393829346,0.15,0.0,0.17,0.22
0.5690369606018066,-0.17,0.19,-0.01,0.25
0.5856170654296875,-0.22,0.19,-0.28,0.4
0.5888729095458984,-0.14,0.17,-0.45,0.5
0.6006100177764893,-0.09,0.22,-0.4,0.46
0.6086111068725586,-0.17,0.12,-0.4,0.45
0.6188559532165527,-0.36,-0.02,-0.51,0.62
0.6317110061645508,-0.59,0.14,-0.37,0.71
0.6388440132141113,-0.67,0.14,-0.3,0.74
0.6709418296813965,-0.58,0.05,-0.16,0.6
