time,ax,ay,az,atotal
0.0023069381713867188,0.43,-0.22,-0.19,0.51
0.01233983039855957,0.18,-0.1,-0.07,0.21
0.0222318172454834,-0.15,0.03,-0.05,0.16
0.03213191032409668,-0.16,0.03,-0.12,0.2
0.06056404113769531,0.02,-0.04,-0.2,0.2
0.0610201358795166,0.14,-0.04,-0.21,0.25
0.06203293800354004,0.14,0.0,-0.12,0.18
0.07208085060119629,0.2,-0.01,-0.11,0.22
0.08214116096496582,0.15,0.06,-0.17,0.23
0.09208798408508301,0.09,0.03,-0.22,0.23
0.1020970344543457,-0.07,-0.02,-0.22,0.23
0.1120610237121582,-0.24,-0.01,-0.21,0.31
0.12215399742126465,-0.25,-0.03,-0.16,0.29
0.1320631504058838,-0.19,-0.04,-0.08,0.21
0.16071486473083496,-0.13,-0.02,-0.01,0.13
0.16119790077209473,-0.07,-0.03,0.05,0.09
0.16193890571594238,-0.01,-0.06,0.14,0.15
0.17194581031799316,0.01,-0.09,0.14,0.16
0.18237709999084473,-0.03,-0.06,0.07,0.09
0.19197893142700195,-0.04,-0.04,0.05,0.07
0.20198297500610352,-0.01,-0.05,0.08,0.09
0.21195602416992188,0.1,-0.02,0.16,0.18
0.24253201484680176,0.31,0.0,0.19,0.36
0.24297595024108887,0.39,-0.03,0.16,0.42
0.2433779239654541,0.39,-0.03,0.14,0.41
0.2518799304962158,0.54,0.01,0.1,0.54
0.2619049549102783,0.52,0.04,-0.04,0.52
0.2718698978424072,0.21,0.0,-0.1,0.23
0.2817800045013428,0.03,0.02,-0.18,0.18
0.29172801971435547,-0.02,0.06,-0.26,0.26
0.3019280433654785,0.01,0.02,-0.18,0.18
0.3120138645172119,0.03,-0.01,-0.1,0.1
0.34352898597717285,0.03,-0.04,-0.06,0.07
0.34395909309387207,-0.1,-0.08,-0.01,0.12
0.34438014030456543,-0.26,-0.08,0.02,0.27
0.3517191410064697,-0.29,-0.05,0.02,0.29
0.36173510551452637,-0.22,-0.04,0.05,0.22
0.3717539310455322,-0.13,-0.05,0.1,0.17
0.38167691230773926,-0.06,-0.01,0.12,0.13
0.39157700538635254,0.01,0.01,0.11,0.11
0.4016721248626709,0.0,-0.01,0.06,0.06
0.41167283058166504,-0.08,-0.02,-0.02,0.08
0.44288086891174316,-0.17,-0.01,-0.09,0.19
0.4433290958404541,-0.21,-0.04,-0.06,0.22
0.4437689781188965,-0.1,-0.08,0.01,0.12
0.451617956161499,0.03,-0.07,0.03,0.08
0.4615459442138672,0.08,-0.03,0.01,0.08
0.47150111198425293,0.01,-0.05,0.01,0.05
0.4815199375152588,0.02,-0.01,0.02,0.03
0.49148011207580566,0.07,0.0,0.02,0.07
0.5013878345489502,-0.01,-0.02,-0.05,0.05
0.5115368366241455,-0.09,-0.01,-0.12,0.15
0.5436630249023438,-0.03,0.0,-0.12,0.12
0.5440969467163086,0.07,-0.01,-0.09,0.11
0.5445301532745361,0.11,-0.02,-0.03,0.11
0.551318883895874,0.11,-0.01,0.02,0.11
0.5613601207733154,0.12,-0.01,0.0,0.12
0.5713880062103271,0.14,-0.04,-0.08,0.16
0.5813150405883789,0.1,0.0,-0.14,0.17
0.5913541316986084,0.01,0.01,-0.15,0.15
0.6012098789215088,-0.05,0.01,-0.13,0.13
0.6114039421081543,-0.03,0.02,-0.14,0.14
0.6425268650054932,0.0,0.01,-0.1,0.1
0.6429710388183594,0.05,-0.02,-0.07,0.08
0.6434061527252197,0.09,-0.05,0.02,0.1
0.651015043258667,0.09,-0.03,0.05,0.1
0.6611669063568115,0.02,0.01,0.06,0.06
0.6712219715118408,0.02,0.01,0.09,0.09
0.6811909675598145,0.07,-0.02,0.09,0.11
0.6911849975585938,-0.06,-0.01,0.01,0.06
0.7011058330535889,-0.19,0.01,-0.02,0.19
0.7111389636993408,-0.08,0.01,0.01,0.08
0.7425179481506348,0.06,-0.02,0.06,0.08
0.742962121963501,0.06,-0.01,0.03,0.06
0.7433888912200928,0.05,0.0,0.01,0.05
0.7509958744049072,0.05,0.01,-0.04,0.06
0.7610528469085693,0.0,0.02,-0.09,0.09
0.7709300518035889,-0.02,-0.03,-0.08,0.08
0.780951976776123,-0.02,-0.05,-0.1,0.11
0.7909529209136963,0.01,0.01,-0.16,0.16
0.800987958908081,0.13,0.03,-0.22,0.25
0.8109309673309326,0.24,0.05,-0.24,0.34
0.8439960479736328,0.13,0.0,-0.08,0.15
0.844473123550415,-0.11,-0.04,0.05,0.12
0.844918966293335,-0.19,-0.04,0.01,0.19
0.851060152053833,-0.14,-0.04,-0.09,0.17
0.8607800006866455,-0.11,-0.1,-0.1,0.17
0.8708341121673584,-0.12,-0.07,-0.09,0.16
0.8808419704437256,-0.09,-0.01,-0.05,0.1
0.8908131122589111,0.01,0.0,0.06,0.06
0.9010469913482666,0.04,-0.01,0.11,0.11
0.9108870029449463,0.03,-0.02,0.09,0.09
0.944066047668457,-0.05,-0.02,0.06,0.08
0.94451904296875,-0.11,-0.04,-0.01,0.11
0.944983959197998,-0.1,-0.07,-0.11,0.16
0.9505341053009033,-0.1,-0.07,-0.11,0.16
0.9608371257781982,-0.17,-0.03,-0.07,0.18
0.9707229137420654,-0.19,-0.02,-0.03,0.19
0.980679988861084,-0.17,-0.01,-0.03,0.17
0.9908299446105957,-0.14,0.0,0.0,0.14
1.000641107559204,-0.03,0.0,0.0,0.03
1.010638952255249,-0.03,0.0,0.0,0.03
1.0440590381622314,-0.1,0.01,0.01,0.1
1.0445430278778076,-0.12,0.0,-0.02,0.12
1.0450079441070557,-0.14,-0.04,-0.03,0.14
1.0506870746612549,-0.2,-0.04,-0.06,0.21
1.0606448650360107,-0.24,-0.03,-0.04,0.24
1.0707590579986572,-0.21,-0.08,0.06,0.23
1.0806920528411865,-0.16,-0.06,0.13,0.21
1.0906388759613037,-0.09,0.0,0.12,0.15
1.100567102432251,-0.07,-0.03,0.11,0.13
1.1104629039764404,-0.07,-0.05,0.09,0.12
1.1447579860687256,0.05,-0.01,0.0,0.05
1.1455919742584229,0.11,-0.01,-0.01,0.11
1.1460411548614502,0.1,-0.03,-0.05,0.11
1.1504170894622803,0.15,0.0,-0.12,0.19
1.1604559421539307,0.23,0.0,-0.11,0.25
1.1704471111297607,0.35,-0.03,-0.1,0.36
1.180523157119751,0.42,0.01,-0.18,0.45
1.1905159950256348,0.34,-0.02,-0.2,0.39
1.2004368305206299,0.31,-0.01,-0.11,0.32
1.2103359699249268,0.4,0.06,-0.14,0.42
1.2454969882965088,0.28,0.03,-0.09,0.29
1.2461779117584229,0.19,0.02,-0.03,0.19
1.2466418743133545,0.25,0.05,-0.05,0.25
1.2502758502960205,0.22,0.02,0.02,0.22
1.2602589130401611,0.17,0.01,0.07,0.18
1.2703378200531006,0.15,0.01,0.08,0.17
1.2803080081939697,0.06,-0.09,0.05,0.11
1.2903101444244385,-0.01,-0.03,-0.03,0.04
1.300281047821045,-0.13,-0.05,-0.08,0.16
1.3102450370788574,-0.24,-0.09,-0.03,0.25
1.3452379703521729,-0.21,-0.06,0.01,0.21
1.3459219932556152,-0.23,-0.04,0.06,0.24
1.3463718891143799,-0.21,-0.04,0.16,0.26
1.3501241207122803,-0.14,-0.06,0.12,0.19
1.3601789474487305,-0.16,-0.05,0.06,0.17
1.3703179359436035,-0.13,-0.02,0.04,0.13
1.3800971508026123,-0.09,-0.02,0.0,0.09
1.3901708126068115,-0.1,-0.06,0.01,0.11
1.400097131729126,-0.04,-0.02,0.01,0.04
1.4101269245147705,-0.09,-0.02,0.11,0.14
1.4451048374176025,-0.12,-0.02,0.14,0.18
1.4457738399505615,0.05,-0.01,0.03,0.05
1.4462201595306396,0.15,-0.01,-0.03,0.15
1.4500081539154053,0.14,0.01,-0.1,0.17
1.4600141048431396,0.19,-0.01,-0.16,0.24
1.4700050354003906,0.13,-0.03,-0.12,0.17
1.4800269603729248,0.11,-0.02,-0.09,0.14
1.4899680614471436,0.27,0.02,-0.1,0.28
1.4999778270721436,0.29,0.0,-0.12,0.31
1.5099279880523682,0.27,0.03,-0.16,0.31
1.5457439422607422,0.21,0.04,-0.19,0.28
1.546220064163208,0.04,-0.03,-0.12,0.13
1.5466878414154053,-0.17,-0.02,-0.03,0.17
1.5498340129852295,-0.21,-0.04,0.07,0.22
1.559880018234253,-0.1,-0.02,-0.04,0.1
1.5697858333587646,0.06,-0.05,-0.16,0.17
1.5798659324645996,0.02,-0.09,-0.1,0.13
1.5898289680480957,-0.21,-0.04,-0.08,0.22
1.599761962890625,-0.35,0.0,-0.01,0.35
1.609740972518921,-0.35,-0.02,-0.01,0.35
1.6447060108184814,-0.28,-0.02,0.03,0.28
1.6454010009765625,-0.23,-0.04,0.07,0.24
1.6458289623260498,-0.26,-0.04,0.07,0.27
1.649704933166504,-0.39,-0.06,0.06,0.39
1.6597020626068115,-0.44,-0.07,0.01,0.44
1.6697418689727783,-0.4,-0.08,-0.02,0.4
1.679671049118042,-0.24,-0.06,-0.02,0.24
1.689723014831543,-0.05,-0.03,0.03,0.06
1.6996500492095947,0.11,0.01,0.03,0.11
1.7094719409942627,0.2,0.01,0.02,0.2
1.745223045349121,0.33,0.03,0.01,0.33
1.7456691265106201,0.33,0.08,-0.13,0.36
1.746086835861206,0.11,0.04,-0.25,0.27
1.7495181560516357,0.11,-0.02,-0.31,0.32
1.759526014328003,0.14,-0.04,-0.28,0.31
1.769515037536621,0.08,-0.01,-0.15,0.17
1.779498815536499,0.06,-0.03,0.02,0.06
1.7895281314849854,0.09,-0.02,0.04,0.1
1.7995269298553467,0.08,0.02,0.02,0.08
1.809330940246582,0.08,-0.01,0.06,0.1
1.845163106918335,0.05,-0.04,0.1,0.11
1.8456089496612549,-0.01,-0.04,0.11,0.11
1.846012830734253,-0.09,-0.05,0.06,0.11
1.849390983581543,-0.07,-0.02,0.02,0.07
1.8594000339508057,-0.1,-0.03,-0.02,0.1
1.8693201541900635,-0.15,0.01,-0.01,0.15
1.8792619705200195,-0.16,-0.01,0.02,0.16
1.8893489837646484,-0.11,-0.02,-0.01,0.11
1.8993279933929443,-0.08,-0.06,-0.08,0.12
1.909317970275879,-0.14,-0.08,-0.17,0.23
1.9461700916290283,-0.22,-0.08,-0.16,0.28
1.9466209411621094,-0.21,-0.05,-0.13,0.25
1.9470820426940918,-0.22,-0.04,-0.09,0.24
1.9492559432983398,-0.23,-0.03,-0.06,0.23
1.9592440128326416,-0.15,-0.03,0.0,0.15
1.969041109085083,0.0,-0.04,0.02,0.04
1.9791779518127441,0.05,-0.03,-0.03,0.06
1.989243984222412,0.07,-0.01,-0.1,0.12
1.999197006225586,0.0,-0.05,-0.12,0.13
2.0091609954833984,-0.1,-0.05,-0.13,0.17
2.0465738773345947,-0.08,-0.02,-0.1,0.12
2.0470468997955322,-0.01,0.0,-0.08,0.08
2.047492027282715,0.11,0.0,-0.03,0.11
2.0490310192108154,0.17,0.02,-0.02,0.17
2.0590929985046387,0.14,-0.01,-0.03,0.14
2.0688469409942627,0.11,0.0,-0.09,0.14
2.0789990425109863,0.11,0.0,-0.15,0.18
2.0891010761260986,0.1,-0.01,-0.13,0.16
2.0990519523620605,0.22,0.04,-0.07,0.23
2.1090481281280518,0.36,0.09,0.01,0.37
2.1463630199432373,0.29,0.04,0.11,0.31
2.1468310356140137,0.07,0.01,0.06,0.09
2.147274971008301,-0.17,0.01,-0.05,0.17
2.1488640308380127,-0.16,-0.04,-0.1,0.19
2.1589510440826416,-0.17,-0.03,-0.07,0.18
2.168972969055176,-0.2,-0.02,-0.02,0.2
2.1789391040802,-0.21,-0.07,0.04,0.22
2.1889419555664062,-0.33,-0.08,0.09,0.35
2.1987521648406982,-0.43,-0.06,0.15,0.45
2.208881139755249,-0.33,-0.04,0.14,0.36
2.2465031147003174,-0.13,-0.04,0.12,0.18
2.2469539642333984,-0.06,-0.06,0.11,0.13
2.2474160194396973,-0.04,-0.03,0.06,0.07
2.248775005340576,-0.01,0.01,0.05,0.05
2.2587380409240723,0.01,0.02,0.01,0.02
2.2689998149871826,0.03,-0.01,-0.08,0.08
