ax_regular,ay_regular,az_regular,ax_injury,ay_injury,az_injury,axL_hand,ayL_hand,azL_hand,axR_hand,ayR_hand,azR_hand
0.000117592,2.05E-10,8.35E-07,0.824107575,0.001007405,3.75E-07,0.000126517,2.85E-05,3.14E-13,0.980607473,1.06E-19,3.12E-13
0.785033994,7.82E-12,1.61E-08,0.854442503,0.003904278,1.51E-10,0.767861787,0.142445548,7.76E-15,0.979508777,1.10E-13,3.06E-11
0.820671399,9.16E-05,3.27E-09,0.843592636,0.185370089,5.12E-05,0.818026607,4.92E-19,1.37E-17,0.990955598,2.51E-11,1.22E-17
0.803529012,2.74E-06,3.41E-11,0.879432207,0.002100503,1.29E-12,0.790513447,1.09E-21,1.81E-24,0.991762193,1.87E-06,1.17E-11
0.809849035,5.85E-06,6.66E-17,0.909335528,0.005654574,2.26E-11,0.79236011,1.16E-25,2.33E-24,0.984239477,1.56E-10,1.79E-19
0.859412363,1.38E-11,2.30E-08,0.814809361,1.60E-06,3.62E-16,0.834388722,5.71E-15,9.40E-18,0.967002991,5.79E-14,7.12E-19
0.833556582,1.32E-15,1.16E-12,0.858779917,0.048135296,9.34E-11,0.820230302,7.23E-21,7.37E-23,0.985067099,5.36E-17,2.78E-18
0.785563055,1.57E-12,3.95E-09,,,,0.75602791,1.43E-16,4.27E-20,0.974642788,3.26E-15,2.96E-10
0.840263409,1.05E-05,5.96E-12,,,,0.803640824,1.96E-05,1.68E-17,0.965420114,2.00E-16,3.24E-11
0.866308785,4.44E-07,2.50E-19,,,,0.829935914,2.08E-13,1.65E-27,0.962777351,2.02E-12,4.15E-11
0.8386172,2.31E-08,2.29E-14,,,,,,,0.977349131,2.22E-12,3.16E-12
0.891534386,9.21E-09,1.04E-19,,,,,,,0.971870726,5.18E-16,1.44E-16
0.82246797,1.08E-10,2.75E-19,,,,,,,0.959664804,4.85E-21,9.09E-18
0.887703995,6.79E-12,3.81E-14,,,,,,,0.960081989,4.31E-15,6.40E-16
0.864997955,1.42E-17,3.02E-19,,,,,,,0.978295139,3.09E-17,1.18E-22
0.84360539,5.51E-12,7.42E-17,,,,,,,0.961275997,2.16E-21,3.01E-27
0.854019327,3.40E-12,6.41E-13,,,,,,,0.971467007,5.26E-18,1.49E-19
0.862655404,1.43E-10,4.66E-16,,,,,,,0.977295285,2.62E-16,1.23E-13
0.839647429,4.65E-15,5.91E-17,,,,,,,0.990101107,3.76E-16,4.57E-21
0.837635144,0.962909964,0.711891051,,,,,,,0.981540052,6.00E-18,5.76E-07
0.827109058,0.847547084,0.021522724,,,,,,,,,
0.831203471,0.674619474,0.454006756,,,,,,,,,
0.858510171,0.293107475,0.266675588,,,,,,,,,
0.865341751,0.843496666,0.005545128,,,,,,,,,
0.826460935,0.175836539,0.836149723,,,,,,,,,
0.826122512,0.534181351,0.213236727,,,,,,,,,
0.824520539,0.294677229,0.000161683,,,,,,,,,
0.788136544,0.012968146,3.58E-05,,,,,,,,,
0.90227154,0.039813644,0.012745309,,,,,,,,,
